pins OK. expected src hashes: install ccd5fc7dbc2035b6  restore 2052d5642163f62e
HEAD 693681d20783; frames -> /home/user/Demo/progress/records/fxartifact1
· waiting for capture lock (1962s, held by pid 4615)
· waiting for capture lock (1973s, held by pid 4615)
· waiting for capture lock (1983s, held by pid 4615)
· waiting for capture lock (1994s, held by pid 4615)
· waiting for capture lock (2004s, held by pid 4615)
· waiting for capture lock (2015s, held by pid 4615)
· waiting for capture lock (2026s, held by pid 4615)
· waiting for capture lock (2036s, held by pid 4615)
· waiting for capture lock (2047s, held by pid 4615)
· waiting for capture lock (2058s, held by pid 4615)
· waiting for capture lock (2068s, held by pid 4615)
· waiting for capture lock (2079s, held by pid 4615)
· waiting for capture lock (2089s, held by pid 4615)
· waiting for capture lock (2100s, held by pid 4615)
· waiting for capture lock (2110s, held by pid 4615)
· waiting for capture lock (2120s, held by pid 4615)
· waiting for capture lock (2131s, held by pid 4615)
· waiting for capture lock (2141s, held by pid 4615)
· waiting for capture lock (2152s, held by pid 4615)
· waiting for capture lock (2162s, held by pid 4615)
· waiting for capture lock (2173s, held by pid 4615)
· waiting for capture lock (2183s, held by pid 4615)
· waiting for capture lock (2194s, held by pid 4615)
· waiting for capture lock (2205s, held by pid 4615)
· waiting for capture lock (2216s, held by pid 4615)
· waiting for capture lock (2227s, held by pid 4615)
· waiting for capture lock (2237s, held by pid 4615)
· waiting for capture lock (2247s, held by pid 4615)
· waiting for capture lock (2257s, held by pid 4615)
· waiting for capture lock (2268s, held by pid 4615)
· waiting for capture lock (2278s, held by pid 4615)
· waiting for capture lock (2289s, held by pid 4615)
· waiting for capture lock (2300s, held by pid 4615)
· waiting for capture lock (2310s, held by pid 4615)
· waiting for capture lock (2321s, held by pid 4615)
· waiting for capture lock (2332s, held by pid 4615)
· waiting for capture lock (2343s, held by pid 4615)
· waiting for capture lock (2353s, held by pid 4615)
· waiting for capture lock (2364s, held by pid 4615)
· waiting for capture lock (2374s, held by pid 4615)
· waiting for capture lock (2384s, held by pid 4615)
· waiting for capture lock (2394s, held by pid 4615)
· waiting for capture lock (2405s, held by pid 4615)
· waiting for capture lock (2416s, held by pid 4615)
· waiting for capture lock (2426s, held by pid 4615)
· waiting for capture lock (2437s, held by pid 4615)
· waiting for capture lock (2447s, held by pid 4615)
· waiting for capture lock (2458s, held by pid 4615)
· waiting for capture lock (2468s, held by pid 4615)
· waiting for capture lock (2478s, held by pid 4615)
· waiting for capture lock (2489s, held by pid 4615)
· waiting for capture lock (2500s, held by pid 4615)
· waiting for capture lock (2511s, held by pid 4615)
· waiting for capture lock (2521s, held by pid 4615)
· waiting for capture lock (2531s, held by pid 4615)
· waiting for capture lock (2542s, held by pid 4615)
· waiting for capture lock (2553s, held by pid 4615)
· waiting for capture lock (2564s, held by pid 4615)
· waiting for capture lock (2575s, held by pid 4615)
· waiting for capture lock (2585s, held by pid 4615)
· waiting for capture lock (2596s, held by pid 4615)
· waiting for capture lock (2606s, held by pid 4615)
· waiting for capture lock (2616s, held by pid 4615)
· waiting for capture lock (2627s, held by pid 4615)
· waiting for capture lock (2638s, held by pid 4615)
· waiting for capture lock (2648s, held by pid 4615)
· waiting for capture lock (2658s, held by pid 4615)
· waiting for capture lock (2669s, held by pid 4615)
· waiting for capture lock (2679s, held by pid 4615)
· waiting for capture lock (2690s, held by pid 4615)
· waiting for capture lock (2701s, held by pid 4615)
· waiting for capture lock (2712s, held by pid 4615)
· waiting for capture lock (2722s, held by pid 4615)
· waiting for capture lock (2733s, held by pid 4615)
· waiting for capture lock (2743s, held by pid 4615)
· waiting for capture lock (2754s, held by pid 4615)
· waiting for capture lock (2764s, held by pid 4615)
· waiting for capture lock (2775s, held by pid 4615)
· waiting for capture lock (2785s, held by pid 4615)
· waiting for capture lock (2795s, held by pid 4615)
· waiting for capture lock (2806s, held by pid 4615)
· waiting for capture lock (2816s, held by pid 4615)
· waiting for capture lock (2826s, held by pid 4615)
· waiting for capture lock (2837s, held by pid 4615)
· waiting for capture lock (2847s, held by pid 4615)
· waiting for capture lock (2858s, held by pid 4615)
· waiting for capture lock (2869s, held by pid 4615)
· waiting for capture lock (2880s, held by pid 4615)
· waiting for capture lock (2890s, held by pid 4615)
· waiting for capture lock (2901s, held by pid 4615)
· waiting for capture lock (2911s, held by pid 4615)
· waiting for capture lock (2921s, held by pid 4615)
· waiting for capture lock (2931s, held by pid 4615)
· waiting for capture lock (2942s, held by pid 4615)
· waiting for capture lock (2952s, held by pid 4615)
· waiting for capture lock (2963s, held by pid 4615)
· waiting for capture lock (2973s, held by pid 4615)
· waiting for capture lock (2983s, held by pid 4615)
· waiting for capture lock (2993s, held by pid 4615)
· waiting for capture lock (3003s, held by pid 4615)
· waiting for capture lock (3015s, held by pid 4615)
· waiting for capture lock (3025s, held by pid 4615)
· waiting for capture lock (3036s, held by pid 4615)
· waiting for capture lock (3046s, held by pid 4615)
· waiting for capture lock (3057s, held by pid 4615)
· waiting for capture lock (3067s, held by pid 4615)
· waiting for capture lock (3078s, held by pid 4615)
· waiting for capture lock (3089s, held by pid 4615)
· waiting for capture lock (3099s, held by pid 4615)
· waiting for capture lock (3110s, held by pid 4615)
· waiting for capture lock (3121s, held by pid 4615)
· waiting for capture lock (3131s, held by pid 4615)
· waiting for capture lock (3141s, held by pid 4615)
· waiting for capture lock (3151s, held by pid 4615)
· waiting for capture lock (3161s, held by pid 4615)
· waiting for capture lock (3173s, held by pid 4615)
· waiting for capture lock (3183s, held by pid 4615)
· waiting for capture lock (3194s, held by pid 4615)
· waiting for capture lock (3204s, held by pid 4615)
· waiting for capture lock (3214s, held by pid 4615)
· waiting for capture lock (3225s, held by pid 4615)
· waiting for capture lock (3235s, held by pid 4615)
· waiting for capture lock (3246s, held by pid 4615)
· waiting for capture lock (3256s, held by pid 4615)
