orig  /home/user/Demo/src/render/PostFX.js  sha256 c37d5c2df2733ca2202f65d35fdf82bb44d58f48da9b5b8b460294b0f1f36388
cand  /home/user/Demo/progress/records/critic10postfx/PostFX.cand.js sha256 cd8ff982463c0ed0b901198f245011598e1a89a886e65b8883d9cb3b5a2e55c5
· waiting for capture lock (2301s, held by pid 30311)
· waiting for capture lock (2311s, held by pid 30311)
· waiting for capture lock (2321s, held by pid 30311)
· waiting for capture lock (2331s, held by pid 30311)
· waiting for capture lock (2342s, held by pid 30311)
· waiting for capture lock (2353s, held by pid 30311)
· waiting for capture lock (2364s, held by pid 30311)
· waiting for capture lock (2374s, held by pid 30311)
· waiting for capture lock (2385s, held by pid 30311)
· waiting for capture lock (2396s, held by pid 30311)
· waiting for capture lock (2407s, held by pid 30311)
· waiting for capture lock (2418s, held by pid 30311)
· waiting for capture lock (2428s, held by pid 30311)
· waiting for capture lock (2439s, held by pid 30311)
· waiting for capture lock (2450s, held by pid 30311)
· waiting for capture lock (2461s, held by pid 30311)
· waiting for capture lock (2471s, held by pid 30311)
· waiting for capture lock (2482s, held by pid 30311)
· waiting for capture lock (2492s, held by pid 30311)
· waiting for capture lock (2502s, held by pid 30311)
· waiting for capture lock (2513s, held by pid 30311)
treestamp: head 04d7b7682c35ff671356f0afc61a8b33c6b0ccb2 dirty src: (none)
installed candidate -> /home/user/Demo/src/render/PostFX.js (sha cd8ff982463c0ed0b901198f245011598e1a89a886e65b8883d9cb3b5a2e55c5)
renderer: ANGLE (Google, Vulkan 1.3.0 (SwiftShader Device (Subzero) (0x0000C0DE)), SwiftShader driver)
   ! textures: prewarm 23 recipes in 1.17s at size 1024 on 3 workers (125 MB, 23 baked / 0 generated)
   ! KayKit (props): 36 placed from 11 models, 0 failed, 31064 tris, 29 colliders, 36 contact decals, 0 hulls
   ! SlyModelDLRig: relaxed 6070 glove vertices, max move 17.8 (asset units)
   ! SlyModelDLRig: staff submesh dropped (258 tris), sly-cane.glb (§294) socketed to handR (grip 22.2 mm, 258 tris)
--- traversal.base  294s  t=0.25 tod=0.77  bloom=true T=[2.2,0.3] subjCut=0  subjBBox=[441,195,735,390]
    applied: baseline
--- traversal.subj1  46s  t=0.25 tod=0.77  bloom=true T=[2.2,0.3] subjCut=1  subjBBox=[441,195,735,390]
    applied: bloomSubjectCut=1
--- traversal.T260  45s  t=0.25 tod=0.77  bloom=true T=[2.6,0.3] subjCut=0  subjBBox=[441,195,735,390]
    applied: bloomThreshold=2.6 bloomKnee=0.3
--- traversal.T290  46s  t=0.25 tod=0.77  bloom=true T=[2.9,0.2] subjCut=0  subjBBox=[441,195,735,390]
    applied: bloomThreshold=2.9 bloomKnee=0.2
--- traversal.bloomoff  52s  t=0.25 tod=0.77  bloom=false T=[2.9,0.2] subjCut=0  subjBBox=[441,195,735,390]
    applied: bloom OFF
--- traversal.sparkoff  47s  t=0.25 tod=0.77  bloom=true T=[2.2,0.3] subjCut=0  subjBBox=[441,195,735,390]
    applied: OFF system sparkles
--- traversal.back  48s  t=0.25 tod=0.77  bloom=true T=[2.2,0.3] subjCut=0  subjBBox=[441,195,735,390]
    applied: baseline
--- night.base  285s  t=0.25 tod=0.02  bloom=true T=[2.2,0.3] subjCut=0  subjBBox=[638,354,846,503]
    applied: baseline
--- night.subj1  51s  t=0.25 tod=0.02  bloom=true T=[2.2,0.3] subjCut=1  subjBBox=[638,354,846,503]
    applied: bloomSubjectCut=1
--- night.bloomoff  52s  t=0.25 tod=0.02  bloom=false T=[2.2,0.3] subjCut=1  subjBBox=[638,354,846,503]
    applied: bloom OFF
--- night.nosandhigh  52s  t=0.25 tod=0.02  bloom=true T=[2.2,0.3] subjCut=0  subjBBox=[638,354,846,503]
    applied: OFF batch sandHigh
--- night.back  52s  t=0.25 tod=0.02  bloom=true T=[2.2,0.3] subjCut=0  subjBBox=[638,354,846,503]
    applied: baseline
    [night] largest base/nosandhigh component: 1616px
--- interior.base  117s  t=0.25 tod=0.5  bloom=true T=[2.2,0.3] subjCut=0  subjBBox=[466,331,820,654]
    applied: baseline
--- interior.subj1  21s  t=0.25 tod=0.5  bloom=true T=[2.2,0.3] subjCut=1  subjBBox=[466,331,820,654]
    applied: bloomSubjectCut=1
--- interior.bloomoff  20s  t=0.25 tod=0.5  bloom=false T=[2.2,0.3] subjCut=1  subjBBox=[466,331,820,654]
    applied: bloom OFF
--- interior.back  21s  t=0.25 tod=0.5  bloom=true T=[2.2,0.3] subjCut=0  subjBBox=[466,331,820,654]
    applied: baseline
--- sly-closeup.base  359s  t=0.25 tod=0.8  bloom=true T=[2.2,0.3] subjCut=0  subjBBox=[220,-38,1211,926]
    applied: baseline
--- sly-closeup.subj1  50s  t=0.25 tod=0.8  bloom=true T=[2.2,0.3] subjCut=1  subjBBox=[220,-38,1211,926]
    applied: bloomSubjectCut=1
--- sly-closeup.back  49s  t=0.25 tod=0.8  bloom=true T=[2.2,0.3] subjCut=0  subjBBox=[220,-38,1211,926]
    applied: baseline
--- hero.base  294s  t=0.25 tod=0.79  bloom=true T=[2.2,0.3] subjCut=0  subjBBox=[158,96,661,459]
    applied: baseline
--- hero.subj1  53s  t=0.25 tod=0.79  bloom=true T=[2.2,0.3] subjCut=1  subjBBox=[158,96,661,459]
    applied: bloomSubjectCut=1
--- hero.back  51s  t=0.25 tod=0.79  bloom=true T=[2.2,0.3] subjCut=0  subjBBox=[158,96,661,459]
    applied: baseline
--- temple.base  215s  t=0.25 tod=0.72  bloom=true T=[2.2,0.3] subjCut=0  subjBBox=[596,584,750,716]
    applied: baseline
--- temple.nosandhigh  39s  t=0.25 tod=0.72  bloom=true T=[2.2,0.3] subjCut=0  subjBBox=[596,584,750,716]
    applied: OFF batch sandHigh
--- temple.nosandlow  39s  t=0.25 tod=0.72  bloom=true T=[2.2,0.3] subjCut=0  subjBBox=[596,584,750,716]
    applied: OFF batch sandLow
--- temple.noshimmer  39s  t=0.25 tod=0.72  bloom=true T=[2.2,0.3] subjCut=0  subjBBox=[596,584,750,716]
    applied: OFF batch shimmer
--- temple.back  39s  t=0.25 tod=0.72  bloom=true T=[2.2,0.3] subjCut=0  subjBBox=[596,584,750,716]
    applied: baseline
    [temple] largest base/nosandhigh component: 2492px
--- sly-profile.base  211s  t=0.25 tod=0.8  bloom=true T=[2.2,0.3] subjCut=0  subjBBox=[129,33,1079,873]
    applied: baseline
--- sly-profile.nosandhigh  41s  t=0.25 tod=0.8  bloom=true T=[2.2,0.3] subjCut=0  subjBBox=[129,33,1079,873]
    applied: OFF batch sandHigh
--- sly-profile.nosandlow  40s  t=0.25 tod=0.8  bloom=true T=[2.2,0.3] subjCut=0  subjBBox=[129,33,1079,873]
    applied: OFF batch sandLow
--- sly-profile.noshimmer  39s  t=0.25 tod=0.8  bloom=true T=[2.2,0.3] subjCut=0  subjBBox=[129,33,1079,873]
    applied: OFF batch shimmer
--- sly-profile.back  38s  t=0.25 tod=0.8  bloom=true T=[2.2,0.3] subjCut=0  subjBBox=[129,33,1079,873]
    applied: baseline
    [sly-profile] largest base/nosandhigh component: 0px
    [sly-profile] < 800 px -> RETRY: step(300, 1/60), full second generation
