# ---- run log preserved by tools/keeplog.sh ----
# run:      arris2-off
# source:   /tmp/claude-0/-home-user-Demo/94022f73-a328-5e86-b2ec-031aa9c720ce/scratchpad/arris2-off.log
# copied:   2026-08-03T12:01:20Z
# tree at copy time (NOT the run's build): 76611f2 — working tree DIRTY
#   For the commit this run actually rendered, read shots/arris2-off/report.json or arris2-off.json.
# NOTE: this is a COPY. The scratchpad original is ephemeral and may already be gone.
# ------------------------------------------------
· waiting for capture lock (2485s, held by pid 4955)
· waiting for capture lock (2496s, held by pid 4955)
· waiting for capture lock (2506s, held by pid 4955)
· waiting for capture lock (2517s, held by pid 4955)
· waiting for capture lock (2527s, held by pid 4955)
· waiting for capture lock (2537s, held by pid 4955)
· waiting for capture lock (2548s, held by pid 4955)
· waiting for capture lock (2559s, held by pid 4955)
· waiting for capture lock (2570s, held by pid 4955)
· waiting for capture lock (2580s, held by pid 4955)
· waiting for capture lock (2590s, held by pid 4955)
· waiting for capture lock (2600s, held by pid 4955)
· waiting for capture lock (2611s, held by pid 4955)
· waiting for capture lock (2621s, held by pid 4955)
· waiting for capture lock (2631s, held by pid 4955)
· waiting for capture lock (2641s, held by pid 4955)
· waiting for capture lock (2652s, held by pid 4955)
· waiting for capture lock (2663s, held by pid 4955)
· waiting for capture lock (2673s, held by pid 4955)
· waiting for capture lock (2684s, held by pid 4955)
· waiting for capture lock (2694s, held by pid 4955)
· waiting for capture lock (2704s, held by pid 4955)
· waiting for capture lock (2715s, held by pid 4955)
· waiting for capture lock (2725s, held by pid 4955)
· waiting for capture lock (2735s, held by pid 4955)
· waiting for capture lock (2746s, held by pid 4955)
· waiting for capture lock (2757s, held by pid 4955)
· waiting for capture lock (2767s, held by pid 4955)
· waiting for capture lock (2778s, held by pid 4955)
· waiting for capture lock (2788s, held by pid 4955)
· waiting for capture lock (2799s, held by pid 4955)
· waiting for capture lock (2809s, held by pid 4955)
· waiting for capture lock (2820s, held by pid 4955)
· waiting for capture lock (2830s, held by pid 4955)
· waiting for capture lock (2841s, held by pid 4955)
· waiting for capture lock (2851s, held by pid 4955)
· waiting for capture lock (2862s, held by pid 4955)
· waiting for capture lock (2873s, held by pid 4955)
· waiting for capture lock (2883s, held by pid 4955)
· waiting for capture lock (2894s, held by pid 4955)
· waiting for capture lock (2904s, held by pid 4955)
· waiting for capture lock (2915s, held by pid 4955)
· waiting for capture lock (2925s, held by pid 4955)
· waiting for capture lock (2936s, held by pid 4955)
· waiting for capture lock (2947s, held by pid 4955)
· waiting for capture lock (2957s, held by pid 4955)
· waiting for capture lock (2968s, held by pid 4955)
· waiting for capture lock (2979s, held by pid 4955)
· waiting for capture lock (2989s, held by pid 4955)
· waiting for capture lock (2999s, held by pid 4955)
· waiting for capture lock (3010s, held by pid 4955)
· waiting for capture lock (3021s, held by pid 4955)
· waiting for capture lock (3032s, held by pid 4955)
· waiting for capture lock (3042s, held by pid 4955)
· waiting for capture lock (3053s, held by pid 4955)
· waiting for capture lock (3064s, held by pid 4955)
· waiting for capture lock (3074s, held by pid 4955)
· waiting for capture lock (3085s, held by pid 4955)
· waiting for capture lock (3095s, held by pid 4955)
· waiting for capture lock (3106s, held by pid 4955)
· waiting for capture lock (3117s, held by pid 4955)
· waiting for capture lock (3128s, held by pid 4955)
· waiting for capture lock (3138s, held by pid 4955)
· waiting for capture lock (3149s, held by pid 4955)
· waiting for capture lock (3160s, held by pid 4955)
· waiting for capture lock (3171s, held by pid 4955)
· waiting for capture lock (3181s, held by pid 4955)
· waiting for capture lock (3192s, held by pid 4955)
· waiting for capture lock (3203s, held by pid 4955)
· waiting for capture lock (3214s, held by pid 4955)
· waiting for capture lock (3224s, held by pid 4955)
· waiting for capture lock (3235s, held by pid 4955)
· waiting for capture lock (3245s, held by pid 4955)
· waiting for capture lock (3255s, held by pid 4955)
· waiting for capture lock (3266s, held by pid 4955)
· waiting for capture lock (3277s, held by pid 4955)
· waiting for capture lock (3287s, held by pid 4955)
· waiting for capture lock (3298s, held by pid 4955)
· waiting for capture lock (3308s, held by pid 4955)
· waiting for capture lock (3318s, held by pid 4955)
· waiting for capture lock (3329s, held by pid 4955)
· waiting for capture lock (3339s, held by pid 4955)
· waiting for capture lock (3350s, held by pid 4955)
· waiting for capture lock (3361s, held by pid 4955)
· waiting for capture lock (3371s, held by pid 4955)
· waiting for capture lock (3382s, held by pid 4955)
· waiting for capture lock (3392s, held by pid 4955)
· waiting for capture lock (3403s, held by pid 4955)
· waiting for capture lock (3414s, held by pid 4955)
· waiting for capture lock (3425s, held by pid 4955)
· waiting for capture lock (3435s, held by pid 4955)
· waiting for capture lock (3446s, held by pid 4955)
· waiting for capture lock (3456s, held by pid 4955)
· waiting for capture lock (3467s, held by pid 4955)
· waiting for capture lock (3477s, held by pid 4955)
· waiting for capture lock (3488s, held by pid 4955)
· waiting for capture lock (3498s, held by pid 4955)
· waiting for capture lock (3508s, held by pid 4955)
· waiting for capture lock (3519s, held by pid 4955)
· waiting for capture lock (3529s, held by pid 4955)
· waiting for capture lock (3540s, held by pid 4955)
· waiting for capture lock (3551s, held by pid 4955)
· waiting for capture lock (3562s, held by pid 4955)
· waiting for capture lock (3572s, held by pid 4955)
· waiting for capture lock (3583s, held by pid 4955)
· waiting for capture lock (3593s, held by pid 4955)
· waiting for capture lock (3604s, held by pid 4955)
· waiting for capture lock (3614s, held by pid 4955)
· waiting for capture lock (3624s, held by pid 4955)
· waiting for capture lock (3635s, held by pid 4955)
· waiting for capture lock (3645s, held by pid 4955)
· waiting for capture lock (3656s, held by pid 4955)
· waiting for capture lock (3667s, held by pid 4955)
· waiting for capture lock (3677s, held by pid 4955)
· waiting for capture lock (3688s, held by pid 4955)
· waiting for capture lock (3698s, held by pid 4955)
· waiting for capture lock (3708s, held by pid 4955)
· waiting for capture lock (3718s, held by pid 4955)
· waiting for capture lock (3729s, held by pid 4955)
· waiting for capture lock (3740s, held by pid 4955)
· waiting for capture lock (3750s, held by pid 4955)
· waiting for capture lock (3761s, held by pid 4955)
· waiting for capture lock (3771s, held by pid 4955)
· waiting for capture lock (3782s, held by pid 4955)
· waiting for capture lock (3792s, held by pid 4955)
· waiting for capture lock (3803s, held by pid 4955)
· waiting for capture lock (3814s, held by pid 4955)
· waiting for capture lock (3824s, held by pid 4955)
· waiting for capture lock (3835s, held by pid 4955)
· waiting for capture lock (3845s, held by pid 4955)
· waiting for capture lock (3857s, held by pid 4955)
· waiting for capture lock (3867s, held by pid 4955)
· waiting for capture lock (3877s, held by pid 4955)
· waiting for capture lock (3888s, held by pid 4955)
· waiting for capture lock (3898s, held by pid 4955)
· waiting for capture lock (3909s, held by pid 4955)
· waiting for capture lock (3919s, held by pid 4955)
· waiting for capture lock (3930s, held by pid 4955)
· waiting for capture lock (3940s, held by pid 4955)
· waiting for capture lock (3951s, held by pid 4955)
· waiting for capture lock (3961s, held by pid 4955)
· waiting for capture lock (3972s, held by pid 4955)
· waiting for capture lock (3982s, held by pid 4955)
· waiting for capture lock (3992s, held by pid 4955)
· waiting for capture lock (4003s, held by pid 4955)
· waiting for capture lock (4013s, held by pid 4955)
· waiting for capture lock (4024s, held by pid 4955)
· waiting for capture lock (4034s, held by pid 4955)
· waiting for capture lock (4045s, held by pid 6541)
· waiting for capture lock (4056s, held by pid 6541)
· waiting for capture lock (4066s, held by pid 6541)
· waiting for capture lock (4076s, held by pid 6541)
· waiting for capture lock (4088s, held by pid 6541)
· waiting for capture lock (4098s, held by pid 6541)
· waiting for capture lock (4108s, held by pid 6541)
· waiting for capture lock (4119s, held by pid 6541)
· waiting for capture lock (4129s, held by pid 6541)
· waiting for capture lock (4140s, held by pid 6541)
· waiting for capture lock (4151s, held by pid 6541)
· waiting for capture lock (4162s, held by pid 6541)
· waiting for capture lock (4173s, held by pid 6541)
· waiting for capture lock (4183s, held by pid 6541)
· waiting for capture lock (4194s, held by pid 6541)
· waiting for capture lock (4204s, held by pid 6541)
· waiting for capture lock (4215s, held by pid 6541)
· waiting for capture lock (4225s, held by pid 6541)
· waiting for capture lock (4235s, held by pid 6541)
· waiting for capture lock (4245s, held by pid 6541)
· waiting for capture lock (4256s, held by pid 6541)
· waiting for capture lock (4267s, held by pid 6541)
· waiting for capture lock (4277s, held by pid 6541)
· waiting for capture lock (4288s, held by pid 6541)
· waiting for capture lock (4299s, held by pid 6541)
· waiting for capture lock (4310s, held by pid 6541)
· waiting for capture lock (4320s, held by pid 6541)
· waiting for capture lock (4330s, held by pid 6541)
· waiting for capture lock (4341s, held by pid 6541)
· waiting for capture lock (4352s, held by pid 6541)
· waiting for capture lock (4363s, held by pid 6541)
· waiting for capture lock (4374s, held by pid 6541)
· waiting for capture lock (4384s, held by pid 6541)
· waiting for capture lock (4395s, held by pid 6541)
· waiting for capture lock (4405s, held by pid 6541)
· waiting for capture lock (4416s, held by pid 6541)
· waiting for capture lock (4426s, held by pid 6541)
· waiting for capture lock (4437s, held by pid 6541)
· waiting for capture lock (4448s, held by pid 6541)
· waiting for capture lock (4459s, held by pid 6541)
· waiting for capture lock (4470s, held by pid 6541)
· waiting for capture lock (4481s, held by pid 6541)
· waiting for capture lock (4492s, held by pid 6541)
· waiting for capture lock (4503s, held by pid 6541)
· waiting for capture lock (4513s, held by pid 6541)
· waiting for capture lock (4524s, held by pid 6541)
· waiting for capture lock (4534s, held by pid 6541)
· waiting for capture lock (4545s, held by pid 6541)
· waiting for capture lock (4555s, held by pid 6541)
· waiting for capture lock (4566s, held by pid 6541)
· waiting for capture lock (4576s, held by pid 6541)
· waiting for capture lock (4587s, held by pid 6541)
· waiting for capture lock (4597s, held by pid 6541)
· waiting for capture lock (4608s, held by pid 6541)
· waiting for capture lock (4618s, held by pid 6541)
· waiting for capture lock (4629s, held by pid 6541)
· waiting for capture lock (4639s, held by pid 6541)
· waiting for capture lock (4650s, held by pid 6541)
· waiting for capture lock (4660s, held by pid 6541)
· waiting for capture lock (4670s, held by pid 6541)
· starting dev server on :5300
· loading game
· ready
· renderer: ANGLE (Google, Vulkan 1.3.0 (SwiftShader Device (Subzero) (0x0000C0DE)), SwiftShader driver)
· modules present (17): shading postfx sky lighting textures architecture props terrain collision character animation movement camera fx guards hud audio
· 2 boot warning(s):
    ! textures: A/B CONTROL BUILD — treatments disabled: hgarris
    ! textures: prewarm took 17.8s at size 1024
  ✓ traversal     185412ms  draws  242  tris 1736k
  ✓ interior       77587ms  draws  156  tris 710k
  ✓ temple        149123ms  draws  229  tris 1699k
  ✓ hero          186881ms  draws  246  tris 1713k
· 1 console error(s):
    ! Failed to load resource: the server responded with a status of 404 (Not Found)
  · page closed

→ shots/arris2-off/  (4 shots, 0 failed)
ARM-OFF-DONE rc=0
