BASE 926f0ee verified: src delta is exactly the three registered files.
HEAD f4056f4364af; frames -> /home/user/Demo/progress/records/torchlight1
· waiting for capture lock (1947s, held by pid 25647)
· waiting for capture lock (1957s, held by pid 25647)
· waiting for capture lock (1967s, held by pid 25647)
· waiting for capture lock (1978s, held by pid 25647)
· waiting for capture lock (1988s, held by pid 25647)
· waiting for capture lock (1999s, held by pid 25647)
· waiting for capture lock (2009s, held by pid 25647)
· waiting for capture lock (2021s, held by pid 25647)
· waiting for capture lock (2031s, held by pid 25647)
· waiting for capture lock (2042s, held by pid 25647)
· waiting for capture lock (2052s, held by pid 25647)
· waiting for capture lock (2063s, held by pid 25647)
· waiting for capture lock (2073s, held by pid 25647)
· waiting for capture lock (2084s, held by pid 25647)
· waiting for capture lock (2094s, held by pid 25647)
· waiting for capture lock (2105s, held by pid 25647)
· waiting for capture lock (2115s, held by pid 25647)
· waiting for capture lock (2125s, held by pid 25647)
· waiting for capture lock (2136s, held by pid 25647)
· waiting for capture lock (2147s, held by pid 25647)
· waiting for capture lock (2157s, held by pid 25647)
· waiting for capture lock (2167s, held by pid 25647)
· waiting for capture lock (2178s, held by pid 25647)
· waiting for capture lock (2188s, held by pid 25647)
· waiting for capture lock (2198s, held by pid 25647)
· waiting for capture lock (2208s, held by pid 25647)
· waiting for capture lock (2219s, held by pid 25647)
· waiting for capture lock (2229s, held by pid 25647)
· waiting for capture lock (2239s, held by pid 25647)
· waiting for capture lock (2250s, held by pid 25647)
· waiting for capture lock (2260s, held by pid 25647)
· waiting for capture lock (2270s, held by pid 25647)
· waiting for capture lock (2281s, held by pid 25647)
· waiting for capture lock (2291s, held by pid 25647)
· waiting for capture lock (2302s, held by pid 25647)
· waiting for capture lock (2312s, held by pid 25647)
· waiting for capture lock (2323s, held by pid 25647)
· waiting for capture lock (2334s, held by pid 25647)
· waiting for capture lock (2344s, held by pid 25647)
· waiting for capture lock (2354s, held by pid 25647)
· waiting for capture lock (2365s, held by pid 25647)
· waiting for capture lock (2375s, held by pid 25647)
· waiting for capture lock (2386s, held by pid 25647)
· waiting for capture lock (2396s, held by pid 25647)
· waiting for capture lock (2407s, held by pid 25647)
· waiting for capture lock (2417s, held by pid 25647)
· waiting for capture lock (2427s, held by pid 25647)
· waiting for capture lock (2438s, held by pid 25647)
· waiting for capture lock (2449s, held by pid 25647)
· waiting for capture lock (2460s, held by pid 25647)
· waiting for capture lock (2471s, held by pid 25647)
· waiting for capture lock (2481s, held by pid 25647)
· waiting for capture lock (2491s, held by pid 25647)
· waiting for capture lock (2502s, held by pid 25647)
· waiting for capture lock (2513s, held by pid 25647)
· waiting for capture lock (2523s, held by pid 25647)
· waiting for capture lock (2533s, held by pid 25647)
· waiting for capture lock (2544s, held by pid 25647)
· waiting for capture lock (2555s, held by pid 25647)
· waiting for capture lock (2566s, held by pid 25647)
· waiting for capture lock (2576s, held by pid 25647)
· waiting for capture lock (2587s, held by pid 25647)
· waiting for capture lock (2597s, held by pid 25647)
· waiting for capture lock (2607s, held by pid 25647)
· waiting for capture lock (2617s, held by pid 25647)
· waiting for capture lock (2628s, held by pid 25647)
· waiting for capture lock (2639s, held by pid 11696)
· waiting for capture lock (2649s, held by pid 11696)
· waiting for capture lock (2660s, held by pid 11696)
· waiting for capture lock (2671s, held by pid 11696)
· waiting for capture lock (2681s, held by pid 11696)
· waiting for capture lock (2692s, held by pid 11696)
· waiting for capture lock (2702s, held by pid 11696)
· waiting for capture lock (2712s, held by pid 11696)
· waiting for capture lock (2723s, held by pid 11696)
· waiting for capture lock (2734s, held by pid 11696)
· waiting for capture lock (2744s, held by pid 11696)
· waiting for capture lock (2754s, held by pid 11696)
· waiting for capture lock (2764s, held by pid 11696)
· waiting for capture lock (2775s, held by pid 11696)
· waiting for capture lock (2786s, held by pid 11696)
· waiting for capture lock (2797s, held by pid 11696)
· waiting for capture lock (2807s, held by pid 11696)
· waiting for capture lock (2818s, held by pid 11696)
· waiting for capture lock (2828s, held by pid 11696)
· waiting for capture lock (2838s, held by pid 11696)
· waiting for capture lock (2848s, held by pid 11696)
· waiting for capture lock (2859s, held by pid 11696)
· waiting for capture lock (2869s, held by pid 11696)
· waiting for capture lock (2880s, held by pid 11696)
· waiting for capture lock (2890s, held by pid 11696)
· waiting for capture lock (2901s, held by pid 11696)
· waiting for capture lock (2911s, held by pid 11696)
· waiting for capture lock (2922s, held by pid 11696)
· waiting for capture lock (2932s, held by pid 11696)
· waiting for capture lock (2942s, held by pid 11696)
· waiting for capture lock (2952s, held by pid 11696)
· waiting for capture lock (2962s, held by pid 11696)
· waiting for capture lock (2973s, held by pid 11696)
· waiting for capture lock (2984s, held by pid 11696)
· waiting for capture lock (2995s, held by pid 11696)
· waiting for capture lock (3006s, held by pid 11696)
