# UNCONFIRMED HYPOTHESES — NOT A RANKING. Generated by the collision-vs-art census.
# Each row is a cell where the drawn art and the capsule-swept collision world disagree.
# NONE of these rows has been driven. A row is a claim about what an agent can do and only
# moving an agent settles it; three sibling rows were driven and their verdicts are in the
# round report. Do not act on a row here without driving it first.
# Probe: capsuleSweep (capsule 1.80 x 0.34) vs binned art triangles at y+0.3/0.9/1.5,
# reach 1.2 m, triviality floor 0.02 m. Vertical probes from y=300.
kind	agent	cells	cx	cz	y	depth_m	art_entry_m	art_exit_m	collision_dist_m	art_mesh	route	dir_x	dir_z
INVISIBLE	player	5	-3	-56.6	0.02	1.2	1.53	1.65	0	props_dark		1	0
THROUGH-ART	player	1	-4	-56	0.02	0.35	0.46	0.8	1.2	arch:pylon:sandstone_worn		-1	0
THROUGH-ART	player	1	-4	8	9	0.16	0.99	1.15	1.2	arch:court:rope_fibre		1	0
INVISIBLE	player	1	-3	-65	1.15	1.18	-1	-1	0.02			1	0
INVISIBLE	player	1	-2	-76	3.51	1.2	-1	-1	0			1	0
INVISIBLE	player	1	-2	-66	1.39	1.17	-1	-1	0.03			1	0
THROUGH-ART	player	28	1.82	-57.32	0.04	2.13	0.06	2.19	1.2	arch:tomb:sandstone_worn		-1	0
THROUGH-ART	player	11	0	0.18	0	2.11	0.26	2.36	1.2	ruin:drums		1	0
THROUGH-ART	player	1	-2	8	9	0.16	0.85	1.01	1.2	arch:court:rope_fibre		-1	0
INVISIBLE	player	5	0	16	5.2	0.78	-1	-1	0.42			0	1
THROUGH-ART	player	10	0	20.5	1.72	1.45	0.57	2.02	1.2	arch:court:sandstone_worn		0	1
INVISIBLE	player	5	0.4	-71.8	3.38	1.2	-1	-1	0			1	0
INVISIBLE	player	1	-1	-67	1.67	1.18	-1	-1	0.02			1	0
INVISIBLE	player	1	-1	-26	17	0.87	-1	-1	0.33			0	-1
THROUGH-ART	player	1	-1	11	20.4	1.02	0.49	1.51	1.2	arch:court:granite_pink		1	0
INVISIBLE	player	3	0.67	-76.33	3.65	1.2	-1	-1	0			1	0
INVISIBLE	player	1	0	-68	2.01	1.19	-1	-1	0.01			1	0
INVISIBLE	player	1	0	-64	0.97	1.2	-1	-1	0			1	0
INVISIBLE	player	6	1.83	-60.17	1.18	1.2	-1	-1	0			1	0
INVISIBLE	player	1	0	-46	16.89	1.19	-1	-1	0.01			0	1
THROUGH-ART	player	1	0	10	20.4	1.02	0.49	1.51	1.2	arch:court:granite_pink		0	1
THROUGH-ART	player	1	0	12	20.4	1.02	0.49	1.51	1.2	arch:court:granite_pink		0	-1
INVISIBLE	player	1	1	-69	2.41	1.19	-1	-1	0.01			1	0
INVISIBLE	player	1	1	-65	1.14	1.17	-1	-1	0.03			1	0
INVISIBLE	player	1	1	-26	17	0.87	-1	-1	0.33			0	-1
THROUGH-ART	player	1	1	11	20.4	1.02	0.49	1.51	1.2	arch:court:granite_pink		-1	0
INVISIBLE	player	1	2	-78	3.81	1.2	-1	-1	0			1	0
INVISIBLE	player	4	3	-67.75	2.05	1.19	-1	-1	0.01			1	0
INVISIBLE	player	1	2	-66	1.39	1.16	-1	-1	0.04			1	0
INVISIBLE	player	1	2	-62	0.95	1.19	-1	-1	0.01			1	0
INVISIBLE	player	2	2.5	-56	1.45	1.19	-1	-1	0.01			1	0
